  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* , YCP ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
158,ISLAMIINS,17.1,17.1,16.2,16.7,16.8,0.3,23,0.262,"15,698"
159,ISNLTD,10.9,11.2,10.9,11,11.1,-0.2,92,0.736,"66,831"
160,JAMUNABANK,13,13.3,12.8,13.1,12.4,0.6,415,8.862,"680,636"
161,JAMUNAOIL,208.5,211.7,207.8,208.3,210.1,-1.6,690,34.847,"166,940"
162,JANATAINS,13,13,12.6,12.8,12.6,0.4,10,0.041,"3,211"
163,JMISMDL,183.1,193.6,183.1,184.3,190.3,-7.2,650,18.37,"97,889"
164,JUTESPINN,0,0,0,47.9,47.9,--,0,0,0
165,KARNAPHULI,14.2,14.4,14,14.2,14.2,0,23,0.227,"15,942"
166,KAY&QUE,12.5,12.5,12.5,12.5,12,0.5,1,0.004,300
167,KBPPWBIL,21.8,22.5,21.8,21.9,22.2,-0.4,231,3.345,"151,581"
168,KEYACOSMET,17.9,18.1,17.8,17.9,18.1,-0.2,102,2.046,"113,995"
169,KOHINOOR,353,358.6,350.1,351.3,356.7,-3.7,90,0.849,"2,390"
170,KPCL,63.1,64,61.9,63,62.4,0.7,"1,555",111.518,"1,768,747"
171,KPPL,18.3,18.6,18,18.1,18.5,-0.2,288,5.445,"299,517"
172,LAFSURCEML,112.6,116,111.4,112.3,113.4,-0.8,"2,864",197.305,"1,756,715"
173,LANKABAFIN,30.5,31.4,30.5,30.6,31.4,-0.9,348,7.873,"256,011"
174,LEGACYFOOT,22,22.8,21.7,22,23,-1,160,1.822,"81,770"
175,LIBRAINFU,362.1,366,362,363.9,379,-16.9,17,0.482,"1,325"
176,LINDEBD,909.3,912.4,908,910.7,911.6,-2.3,89,4.134,"4,548"
177,LRGLOBMF1,4,4.3,4,4.3,4.1,-0.1,31,1.392,"327,300"
178,MAKSONSPIN,9.7,9.8,9.5,9.6,9.6,0.1,199,3.312,"344,741"
179,MALEKSPIN,17.6,17.7,17.3,17.5,17.3,0.3,33,0.562,"32,198"
180,MARICO,"1,421","1,438","1,420","1,430.70","1,430",-9,106,4.489,"3,147"
181,MATINSPINN,39.8,39.9,39.3,39.8,39.9,-0.1,74,3.126,"78,834"
182,MBL1STMF,4,4,3.9,3.9,3.9,0.1,7,0.188,"48,050"
183,MEGCONMILK,7.2,7.5,7.2,7.3,7.5,-0.3,21,0.179,"24,630"
184,MEGHNACEM,108.3,109,108.3,108.5,109.6,-1.3,31,0.444,"4,090"
185,MEGHNALIFE,78,78.8,77.1,77.9,78,0,141,3.292,"42,373"
186,MEGHNAPET,6.1,6.1,6.1,6.1,5.7,0.4,1,0,10
187,MERCANBANK,12.4,12.4,12.2,12.3,12.3,0.1,107,1.147,"93,608"
188,MERCINS,13.4,13.5,13.3,13.3,13.5,-0.1,7,0.065,"4,862"
189,METROSPIN,10.1,10.3,10.1,10.2,10.3,-0.2,45,0.794,"78,023"
190,MHSML,32.2,32.8,31.8,32.2,32,0.2,905,33.046,"1,022,333"
191,MICEMENT,66.7,67.3,65.7,67,66.7,0,184,4.773,"71,465"
192,MIDASFIN,10.6,11,10.5,10.6,11,-0.4,34,0.256,"23,932"
193,MIRACLEIND,13.8,13.8,13.6,13.6,13.8,0,72,0.583,"42,740"
194,MITHUNKNIT,78.3,79.9,78.2,78.3,79.6,-1.3,237,5.933,"75,384"
195,MJLBD,128.2,133.5,128.1,128.8,131.9,-3.7,"2,858",161.519,"1,238,313"
196,MODERNDYE,74.2,80.9,74.2,74.6,79,-4.8,3,0.004,53
197,MONNOCERA,25.7,26,25.5,25.7,25.8,-0.1,8,0.017,652
198,MONNOSTAF,286,292,286,289.1,291.3,-5.3,23,0.376,"1,300"
199,MPETROLEUM,204,206.5,203.5,204.4,206,-2,251,7.288,"35,527"
200,MTB,14.7,14.7,13.8,14.1,13.9,0.8,71,1.585,"113,172"
201,NATLIFEINS,232.3,238.1,231.2,234.8,236.1,-3.8,17,0.422,"1,796"
202,NAVANACNG,55.4,56.4,54.6,54.9,55.8,-0.4,271,6.304,"114,069"
203,NBL,10,10.2,10,10,10.2,-0.2,366,9.941,"988,941"
204,NCCBANK,10.6,10.8,10.5,10.7,10.9,-0.3,257,5.05,"473,082"
205,NCCBLMF1,3.9,4,3.8,3.8,3.9,0,76,1.529,"394,667"
206,NFML,22.9,23.8,22.7,22.9,23.4,-0.5,375,5.168,"223,246"
207,NHFIL,23.1,23.8,23.1,23.3,23.5,-0.4,30,0.298,"12,796"
208,NITOLINS,26.3,26.7,25.3,26.5,26.1,0.2,25,0.166,"6,328"
209,NLI1STMF,8.3,8.3,8.3,8.3,8.4,-0.1,4,0.457,"55,000"
210,NORTHERN,197.5,197.5,197,197.1,204.9,-7.4,7,0.074,374
211,NORTHRNINS,20.3,20.6,20.2,20.2,20.5,-0.2,52,0.761,"37,343"
212,NPOLYMAR,76,77.8,74.2,75.9,76.6,-0.6,152,4.829,"63,569"
213,NTC,718,718,700,709,719.5,-1.5,2,0.007,10
214,NTLTUBES,106,107.5,105.7,106,108.1,-2.1,224,2.676,"25,101"
215,OLYMPIC,222.2,224,220.5,222,222.3,-0.1,363,12.606,"56,930"
216,ONEBANKLTD,12.2,12.5,12.2,12.2,12.5,-0.3,227,8.24,"671,540"
217,ORIONINFU,43.9,44.8,43.4,43.8,43.3,0.6,"1,228",37.887,"857,167"
218,ORIONPHARM,43.6,43.9,42.7,43.4,42.7,0.9,"1,296",62.749,"1,447,598"
219,PADMALIFE,36,36.4,36,36.2,36.3,-0.3,18,0.168,"4,640"
220,PADMAOIL,245.1,248.5,244.5,245.3,245.8,-0.7,326,10.777,"43,925"
221,PARAMOUNT,12.7,13.5,12.7,13,13.5,-0.8,27,0.168,"12,830"
222,PENINSULA,20,20.8,19.9,20,20.5,-0.5,180,2.888,"143,575"
223,PEOPLESINS,18.5,18.5,17.7,18.4,17.8,0.7,79,0.668,"36,792"
224,PF1STMF,4.4,4.4,4.3,4.3,4.3,0.1,8,0.017,"3,889"
225,PHARMAID,305,324,300,304.2,313.9,-8.9,"1,802",75.315,"241,258"
226,PHENIXINS,24,25,23.9,23.9,24,0,59,2.67,"110,700"
227,PHOENIXFIN,23.2,23.5,23.2,23.2,23.3,-0.1,57,0.815,"35,019"
228,PHPMF1,4.2,4.3,4.2,4.3,4.2,0,46,0.299,"70,721"
229,PIONEERINS,37.9,38,37.8,37.8,38.4,-0.5,20,0.348,"9,200"
230,PLFSL,15.9,16.4,15.8,15.9,16.3,-0.4,438,7.58,"472,349"
231,POPULAR1MF,4.4,4.5,4.3,4.4,4.3,0.1,41,0.263,"59,517"
232,POPULARLIF,167,169,165,166.1,166,1,203,8.338,"49,972"
