  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* ,    YCP    ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
295,STANCERAM,35.7,35.7,35.7,35.7,33.8,1.9,1,0.004,100
296,STANDARINS,18.1,18.1,18.1,18.1,18.8,-0.7,2,0.005,263
297,STANDBANKL,11.2,11.3,11,11.2,11.3,-0.1,139,3.648,"327,212"
298,STYLECRAFT,0,0,0,835,835,--,0,0,0
299,SUMITPOWER,31.4,31.9,31.2,31.5,32,-0.6,385,12.049,381754
300,SUNLIFEINS,30.6,30.6,29.8,30.4,30.7,-0.1,49,0.379,"12,530"
301,TAKAFULINS,17.7,18.2,17.4,17.9,18.2,-0.5,27,0.177,"9,875"
302,TALLUSPIN,14.1,14.2,13.9,14.1,14.1,0,56,1.141,"81,170"
303,TITASGAS,70.4,70.5,68,69.6,69.5,0.9,266,12.077,"174,822"
304,TRUSTB1MF,4.3,4.5,4.3,4.4,4.4,-0.1,31,0.328,"75,372"
305,TRUSTBANK,12.7,12.9,12.3,12.7,12.8,-0.1,49,0.654,"51,539"
306,TUNGHAI,22.4,23,21.8,22.5,22,0.9,835,31.869,"1,423,481"
307,UCBL,19.3,19.5,18.7,19.3,19,0.3,310,4.422,"230,380"
308,UNIONCAP,13.6,13.9,13.5,13.6,14,-0.4,40,0.314,"23,014"
309,UNIQUEHRL,50.5,53.3,49.5,50.4,53,-2.8,2302,103.95,"2,054,357"
310,UNITEDAIR,6.9,7,6.8,6.9,7,-0.1,484,6.222,"900,088"
311,UNITEDFIN,19.4,19.4,18.9,19.2,19,0.1,87,1.963,"102,706"
312,UNITEDINS,21.1,21.2,21.1,21.2,21,0.2,8,0.038,"1,800"
313,UPGDCL,159.8,159.8,144,159.8,145,14.5,10297,377.594,"2,442,835"
314,USMANIAGL,101,102.6,101,101.2,103,-1.6,68,0.863,"8,510"
315,UTTARABANK,18.6,18.9,18.3,18.5,19,0,165,3.089,"165,459"
316,UTTARAFIN,53.2,55,53.2,53.7,54,-1.1,150,2.045,"37,983"
317,WATACHEM,203,208,202.7,204.7,208,-5.2,134,1.799,"8,733"
318,WMSHIPYARD,41,41.7,40.5,41,41,-0.4,939,25.386,"619,066"
319,ZAHEENSPIN,17.5,17.8,16,17.5,17,0.9,730,13.387,"784,327"
320,ZAHINTEX,11.6,11.8,11.4,11.5,12,-0.1,38,0.297,"25,816"
321,ZEALBANGLA,0,0,0,6.7,7,--,0,0,0
322,ZEALBANGLA,0,0,0,6,6,--,0,0,0
