  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* , YCP ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
269,SAIHAMCOT,19.1,20.5,18.8,19.3,19.1,0,47,0.846,"43,789"
270,SAIHAMTEX,23.6,23.9,23.6,23.7,23.9,-0.3,34,0.392,"16,557"
271,SALAMCRST,28.9,29.2,28,28.8,29.2,-0.3,140,3.814,"132,196"
272,SALVOCHEM,17.7,18.1,17.7,17.8,18,-0.3,150,3.626,"202,870"
273,SAMATALETH,17.5,17.5,17.5,17.5,17,0.5,1,0.013,750
274,SAMORITA,78.9,79.7,77.4,77.7,78.6,0.3,85,1.193,"15,270"
275,SANDHANINS,57.5,57.5,56.6,56.9,57,0.5,26,0.203,"3,573"
276,SAPORTL,64.8,66.7,64,65,63.9,0.9,"2,046",93.147,"1,425,212"
277,SAVAREFR,0,0,0,48.5,48.5,--,0,0,0
278,SEBL1STMF,8.1,8.2,8,8.2,8,0.1,37,1.187,"146,401"
279,SHAHJABANK,11.5,11.6,11.3,11.5,11.6,-0.1,173,5.49,"478,587"
280,SHASHADNIM,36.9,50,36.9,37.1,0,36.9,"44,090",358.627,"9,176,635"
281,SHURWID,22.8,22.9,22.4,22.6,22.6,0.2,292,6.534,"288,435"
282,SHYAMPSUG,0,0,0,7.7,7.7,--,0,0,0
283,SIBL,15.9,16,15.8,15.9,15.9,0,640,73.172,"4,587,861"
284,SINGERBD,219.5,219.9,218.3,219,219.1,0.4,715,27.059,"123,421"
285,SINOBANGLA,26.5,26.7,26.1,26.5,26,0.5,356,9.664,"365,919"
286,SONALIANSH,115,115.9,113.8,114.4,115.6,-0.6,104,1.097,"9,568"
287,SONARBAINS,16,17,15,15.5,16.3,-0.3,67,0.608,"39,485"
288,SONARGAON,10.8,10.8,10.3,10.4,10.3,0.5,5,0.013,"1,205"
289,SOUTHEASTB,19.4,19.9,19.3,19.4,19.7,-0.3,446,36.566,"1,863,393"
290,SPCERAMICS,13.1,13.5,13,13.1,13.1,0,29,0.211,"16,092"
291,SPCL,228.8,229.4,219,227.2,218.4,10.4,"2,881",145.097,"644,315"
292,SPPCL,46.9,47,46.4,46.8,46.7,0.2,165,5.004,"107,378"
293,SQUARETEXT,90.9,91.9,90.9,91.2,91.5,-0.6,182,4.941,"54,093"
294,SQURPHARMA,258.4,260.4,257.8,258.2,259.4,-1,"1,302",61.866,"238,752"
295,STANCERAM,36.7,37.5,36.7,36.9,36.2,0.5,7,0.053,"1,435"
296,STANDARINS,23.2,23.8,23,23.3,23,0.2,21,0.572,"24,519"
297,STANDBANKL,11.9,12.1,11.9,12,12.1,-0.2,103,2.924,"244,313"
298,STYLECRAFT,865,865,865,865,836.4,28.6,1,0.003,3
299,SUMITPOWER,34.6,35,34.5,34.6,34.9,-0.3,254,7.549,"217,362"
300,SUNLIFEINS,37.7,37.9,37,37.7,37.9,-0.2,44,0.719,"19,134"
301,TAKAFULINS,23,24,22.7,23.3,23.5,-0.5,8,0.037,"1,581"
302,TALLUSPIN,14.8,15.2,14.7,14.9,14.7,0.1,116,2.266,"150,471"
303,TITASGAS,74.9,76.4,74.1,74.5,74.5,0.4,248,16.819,"225,854"
304,TRUSTB1MF,4.9,5,4.9,4.9,4.9,0,40,1.048,"213,809"
305,TRUSTBANK,17.5,17.5,17.2,17.4,17.4,0.1,88,2.363,"135,944"
306,TUNGHAI,19.9,20.1,19.1,19.9,19.1,0.8,857,35.251,"1,779,623"
307,UCBL,22.9,23.6,22.7,22.9,30,-7.1,928,51.154,"2,212,650"
308,UNIONCAP,17.9,18.2,17.6,17.8,17.8,0.1,72,1.297,"72,750"
309,UNIQUEHRL,60.6,61.3,60.3,60.4,60.8,-0.2,92,2.178,"36,019"
310,UNITEDAIR,8.2,8.3,8.1,8.2,8.2,0,465,9.029,"1,101,707"
311,UNITEDFIN,25.1,26.1,24.6,25.1,26,-0.9,224,8.808,"348,295"
312,UNITEDINS,29.5,29.5,28.6,29,29,0.5,7,0.045,"1,567"
313,USMANIAGL,114.9,117.5,113.7,114.4,114.7,0.2,98,1.076,"9,380"
314,UTTARABANK,23.3,23.9,22.9,23.3,24,-0.7,324,8.482,"361,636"
315,UTTARAFIN,70.1,73.9,69.5,69.8,70.7,-0.6,96,1.508,"21,532"
316,WATACHEM,211.2,216,211.2,212,214.2,-3,151,2.003,"9,391"
317,WMSHIPYARD,41.9,42.9,41.7,41.9,42.4,-0.5,783,16.829,"399,689"
318,ZAHINTEX,13.4,14.2,13.4,13.5,13.7,-0.3,63,0.676,"50,100"
319,ZEALBANGLA,7.9,7.9,7.9,7.9,7.9,0,1,0,50
